Tidak Baku,Baku
aaaasudahlah,ya sudahlah
aaja,aja
abalabal,abal abal
abalberulangkali,aba berulang kali
abalsangat,abal sangat
abdet,update
abdete,update
abis,habis
abisaneh,abis aneh
acan,scan
acarasama,acara sama
ach,ah
ad,ada
adaini,ada ini
adapadahal,ada padahal
adapula,ada pula
adasambung,ada sambung
adh,ada
adminnnn,admin
adminya,adminnya
aee,ae
afk,aplikasi
aflikasi,aplikasi
afnya,aplikasinya
aga,agak
agak,cukup
agk,agak
ahar,agar
ahh,ah
ahhh,ah
ahhhh,ah
ahirnya,akhirnya
ahp,a hp
aikasinya,aplikasinya
aing,saya
aj,aja
ajaa,aja
ajaa,aja
ajaaaa,aja
ajabantu,aja bantu
ajadaftarnya,aja daftarnya
ajah,aja
ajaharus,aja harus
ajakalah,aja kalah
ajaklo,aja kalau
ajalahgpy,ajalah tida papa
ajamalah,aja malah
ajamana,aja mana
ajamau,aja mau
ajangisi,aja ngisi
ajapendaftaran,aja pendaftaran
ajasangat,aja sangat
ajatolong,aja tolong
aje,aja
ajee,aja
ajg,anjing
ajh,aja
ajig,anjing
ajja,aja
ajkok,aja kok
ajq,anjing
akaldaftar,akal daftar
akhhh,ah
akhire,akhirnya
akorban,a korban
aktfkan,aktifkan
aktifasi,aktivasi
aktifitas,aktivitas
aku,saya
aku,saya
akunreset,akun reset
al hamdulillah,alhamdulillah
alamiaplikasi,alami aplikasi
alangk,alangkah
alesan,alasan
alesannya,alasannya
alesanya,alasannya
alfikasi,aplikasi
algoritmyanya,algoritmanya
alhamdulilah,alhamdulillah
alhamdulillahsudah,alhamdulillah sudah
alikasi,aplikasi
alloh,allah
alternatifnyacuman,alternatifnya cuman
ama,sama
ambilsiapa,ambil siapa
amin,aamiin
ampasss,ampas
ampe,sampai
amplikasine,aplikasinya
ampunda,ampun dah
ampunjangan,ampun jangan
ampunkarena,ampun karena
ampunmasuk,ampun masuk
ampunmau,ampun mau
ampunnn,ampun
ampunnnnn,ampun
ampunsering,ampun sering
ampunsudah,ampun sudah
ampuntolong,ampun tolong
andata,an data
androidada,android ada
androidpusing,android pusing
ane,saya
anee,saya
aneeeh,aneh
aneeh,aneh
anehaneh,aneh aneh
anehburuk,aneh buruk
anehh,aneh
anehhh,aneh
angeeel,angel
angellllll,angel
anggarab,anggaran
angus,hangus
anj,anjing
anjayyy,anjing
anjeng,anjing
anjg,anjing
anjinggg,anjing
anjingggg,anjing
anjinh,anjing
anjir,anjing
anjj,anjing
anjjngg,anjing
anjrit,anjing
anmakanya,an makanya
anroid,android
antre,antri
anutlran,amatiran
anyingjugaaaa,anjing juga
anyink,anjing
anyyyingg,anjing
aok,aplikasi
ap,apa
apaa,apa
apaaaaaaaaaa,apa
apaaaan,apaan
apaapa,apa apa
apaapakah,apa apakah
apadan,apa dan
apah,apa
apaini,apa ini
apak,apakah
apaklu,apa kalau
apalgi,apalagi
apalikasi,aplikasi
apan,apaan
apannn,apaan
apanymobil,apanya mobil
apasi,apasih
apdet,update
apikasi,aplikasi
apilikasi,aplikasi
apk,aplikasi
apkikasinya,aplikasinya
apklikasi,aplikasi
apkmy,aplikasinya
apknontunai,aplikasi nontunai
apkny,aplikasinya
apknya,aplikasinya
apl,aplikasi
aplg,apa lagi
apliaksi,aplikasi
apliaksinya,aplikasinya
apliasi,aplikasi
aplicasi,aplikasi
apliikasi,aplikasi
aplikaai,aplikasi
aplikaainya,aplikasinya
aplikai,aplikasi
aplikainya,aplikasinya
aplikas,aplikasi
aplikasai,aplikasi
aplikasi,aplikasi
aplikasia,aplikasi
aplikasiatau,aplikasi atau
aplikasidan,aplikasi dan
aplikasidiinfoken,aplikasi diinfokan
aplikasidiperbaharui,aplikasi diperbaharui
aplikasih,aplikasi
aplikasihapa,aplikasi apa
aplikasijadi,aplikasi jadi
aplikasikl,aplikasi kalau
aplikasimau,aplikasi mau
aplikasimenyusahkan,aplikasi menyusahkan
aplikasina,aplikasinya
aplikasinegara,aplikasi negara
aplikasiny,aplikasinya
aplikasinyagj,aplikasinya tidak jelas
aplikasinyanotifnya,aplikasinya notifnya
aplikasinyasetiap,aplikasinya
aplikasinyasungguh,aplikasinya sungguh
aplikasinye,aplikasinya
aplikasipadahal,aplikasi padahal
aplikasipetugas,aplikasi petugas
aplikasitrus,aplikasi terus
aplikasiy,aplikasinya
aplikator,aplikasi
apliksi,aplikasi
apliksih,aplikasi
aplilasi,aplikasi
aplk,aplikasi
aplkasi,aplikasi
aplkasinaya,aplikasinya
aplks,aplikasi
aplnya,aplikasinya
aplot,upload
aploud,upload
aplx,aplikasinya
app,aplikasi
appapk,aplikasi
appk,aplikasi
appl,aplikasi
appli,aplikasi
applikasi,aplikasi
appnya,aplikasinya
approved,approve
apps,aplikasi
appsnya,aplikasinya
aprove,approve
apus,hapus
aq,saya
ar,aja
arg,ah
argggghhhhhh,ah
arwahminggu,arwah minggu
asem,asam
aslingisinya,asli ngisinya
asliribet,asli ribet
asssssss,anjing
astagfirullah,astaghfirullah
asuu,anjing
asuuu,anjing
asw,anjing
aswww,anjing
atjeh,aja
ato,atau
atuhhh,atuh
atura,aturan
aturn,aturan
atw,atau
audah,sudah
avanz,avanza
awak,saya
awaldahhh,awal dah
awalharus,awal harus
ayeuna,saya sudah
ayooo,ayo
az,aja
aza,aja
baban,beban
babe,ayah
babeh,ayah
babiiii,babi
bacottt,bacot
baecode,barcode
baekan,bae kan
bagaana,bagaimana
bagaiman,bagaimana
baget,banget
bagoan,bagian
baguslancar,bagus lancar
bagusmembantu,bagus membantu
baguspertahankan,bagus pertahankan
baguss,bagus
bagustapi,bagus tapi
baikbaik,baik baik
baikbikin,baik buat
baikkk,baik
baikmeterannya,baik meterannya
baikperbaiki,baik perbaiki
baiksaja,baik saja
bajingaaaan,bajingan
balaukacau,balau kacau
baleg,balik
balek,balik
bales,balas
balkotnya,barcodenya
banditmaling,bandit maling
baner,banner
bangat,banget
bangeetttt,banget
bangetdan,banget dan
bangetkami,banget kami
bangetmau,banget mau
bangetmengirim,banget mengirim
bangett,banget
bangetterlalu,banget terlalu
bangettt,banget
bangetudah,banget udah
bangetudh,banget udah
bangsaaat,bangsat
bangsad,bangsat
bangsatt,bangsat
bangsattttttttt,bangsat
bangt,banget
bankdanaovo,bank dana ovo
banktepaksa,bank terpaksa
bannerspanduk,banner spanduk
bantunjawab,bantu jawab
bantusaya,bantu saya
banyakk,banyak
banyakpantas,banyak pantas
barangnyaaku,barangnya saya
barapa,berapa
barcede,barcode
barcobdan,barcode dan
barcod,barcode
barcodeada,barcode ada
barcodedengan,barcode dengan
barcodeeh,barcode
barcodeinput,barcode input
barcodeno,barcode nomor
barcodenya,barcodenya
barcodenyaga,barcodenya tidak
barcodenyatapi,barcodenya tapi
barcodepadahal,barcode padahal
barcoderibet,barcode ribet
barcodesekarang,barcode sekarang
barcodetapi,barcode tapi
barcodetes,barcode tes
barcodetolong,barcode tolong
barcodetp,barcode tapi
barcodeyang,barcode yang
barcodhp,barcode hp
barcokhot,barcode
barcord,barcode
barcordt,barcode
barcot,barcode
barcotnya,barcodenya
bardcode,barcode
barecode,barcode
barkod,barcode
barkode,barcode
barkodenya,barcodenya
barkot,barcode
barkotjadi,barcode jadi
barkotkode,barcode kode
barkotnya,barcodenya
barode,barcode
barqode,barcode
barusekitar,baru sekitar
barusemoga,baru semoga
baruyang,baru yang
barvcode,barcode
batubara,batu bara
bawahyg,bawah yang
bayak,banyak
bbmdi,bbm di
bbmini,bbm ini
bbmkalau,bbm kalau
bbmkalo,bbm kalau
bbmmending,bbm mending
bbmnya,bbmnya
bbmselanjutnya,bbm selanjutnya
bbmtapi,bbm tapi
bbmy,bbmnya
bbmyg,bbm yang
bbrp,beberapa
bbrpa,beberapa
bbrpx,beberapanya
bdoh,bodoh
beast,best
becusssss,becus
beesubsidi,bersubsidi
beg,bego
beginisetiap,begini setiap
beginiwoy,begini woy
bekerjasama,bekerja sama
beliaduh,beli aduh
belibet,ribet
belikenapa,beli kenapa
belinyagk,belinya tidak
belisekelas,beli sekelas
belitapk,belit aplikasi
belitbelit,belit belit
belumada,belum ada
belumsemua,belum semua
bemanfaatkelamaan,bermanfaat kelamaan
benarapk,benar aplikasi
benarbenar,benar benar
benardan,benar da
benarnomor,benar nomor
benarudah,benar udah
bened,banned
beneerr,benar
bener,benar
beneran,benaran
benerin,benarin
benerlahh,benarlah
benermasa,benar masa
benernya,benarnya
benerudah,benar sudah
bengsin,bensin
bensi,bensin
bensinharus,bensin harus
bensinisi,bensin isi
bensinkasihan,bensin kasihan
bensinklo,bensin kalau
bensinplat,bensin plat
bensinya,bensinnya
berapakali,berapa kali
berbedajdi,berbeda jadi
berbelitbelit,berbelit belit
berbelitsdh,berbelit sudah
bercnda,bercanda
bercode,barcode
bereslha,bereslah
bergunamembingungkanribet,berguna membingungkan ribet
berharihari,berhari hari
berhasilaplikasi,berhasil aplikasi
berhasilujung,berhasil ujung
berhdiahnya,berhadiahnya
berjamjam,berjam jam
berkalikali,berkali kali
berkcimpung,berkecimpung
berkembangtradisi,berkembang tradisi
berkerjasama,bekerja sama
berlakutruk,berlaku truk
bermanfaatblum,bermanfaat belum
bermanfaatkeren,bermanfaat keren
bermaslh,bermasalah
bermcm,bermacam macam
bermcm mcm,bermacam macam
bermingguminggu,berminggu minggu
bermobilmobil,bermobil mobil
berpa,berapa
berpaedah,berfaedah
bersubsidj,bersubsidi
bersupaidi,bersubsidi
bersupsidi,bersubsidi
berteletele,bertele tele
bertemunyasekitar,bertemunya sekitar
berubahpemimpin,berubah pemimpin
berulamg,berulang
berulangulang,berulang ulang
besarkalau,besar kalau
besarnyusahin,besar nyusahin
besikapa,bersikap
besin,bensin
bg,bang
bgaimanayaaaa,bagaimana ya
bgd,banget
bget,banget
bgini,begini
bgitu,begitu
bgmn,bagaimana
bgmna,bagaimana
bgs,bagus
bgsd,bangsat
bgt,banget
bgtnyusahin,banget nyusahin
bgtsowe,banget kita
bgus,bagus
bhkan,bahkan
bhw,bahwa
bikinny,buatnya
bikintolong,buat tolong
bikit,buat
bikn,buat
bilanh,bilang
binggu,bingung
binggungkesulitan,bingung kesulitan
bingtang,bintang
bingu,bingung
bingubg,bingung
binsin,bensin
bintng,bintang
biosolarsudh,biosolar sudah
biosolat,biosolar
bisaa,bisa
bisaaaaaaaaaaaaa,bisa
bisaaplikasi,bisa aplikasi
bisabayar,bisa bayar
bisabisa,bisa bisa
bisacara,bisa cara
bisadan,bisa dan
bisadi,bisa di
bisafoto,bisa foto
bisaga,bisa tidak
bisagaris,bisa garis
bisagimana,bisa gimana
bisah,bisa
bisakapan,bisa kapan
bisakasi,bisa kasih
bisakorupsi,bisa korupsi
bisakualitas,bisa kualitas
bisamau,bisa mau
bisaminimal,bisa minimal
bisamohon,bisa mohon
bisanasib,bisa nasib
bisanik,bisa nik
bisanotifikasi,biisa notifikasi
bisapassword,bisa password
bisasekarang,bisa sekarang
bisasia,bisa sia
bisasoalnya,bisa soalnya
bisaterus,bisa terus
bisatolong,bisa tolong
biso,bisa
bjsa,bisa
bkan,bukan
bkin,buat
bkk,bukan
bkn,bukan
bknya,bukannya
blakn,bla kan
blass,blas
blasss,blas
blassssudh,blas sudah
blast,blas
blg,bilang
bli,beli
blibet,beribet
blinkbtidak,paling tidak
bljr,belajar
blm,belum
bln,bulan
blog,goblok
blok,goblok
blokk,blokir
blokmau,blokir mau
blom,belum
blum,belum
blurdan,blur dan
blurparah,blur parah
bmm,bbm
bnaget,banget
bner,benar
bneran,benaran
bnerin,benarin
bnget,banget
bngt,banget
bnr,benar
bnrin,benarin
bnyak,banyak
bnyk,banyak
boar,biar
bobrokklemotsusah,bobrok lemot susah
bodo,bodoh
bodohhh,bodoh
bolabali,bolak balik
bolakbalik,bolak balik
bolal,bolak
bosa,bisa
boskuuuuuuuuuu,bos saya
bosok,busuk
bosoksemoga,busuk semoga
boss,bos
bosss,bos
bossssgimana,bos gimana
bossssss,bos
botalhasil,bot alhasil
bpak,bapak
brcode,barcode
brengsekkorup,brengsek korup
brhasil,berhasil
brightstore,bright store
briping,brifing
brkurang,berkurang
broo,bro
brow,bro
brp,berapa
brpa,berapa
brtmbh,bertambah
bru,baru
bs,bisa
bsa,bisa
bsamalah,bisa malah
bsanya,bisanya
bsbarcode,berbarcode
bsok,besok
bsrcode,barcode
bsverifikasi,berverifikasi
buanget,banget
buangwaktu,buang waktu
buanyak,banyak
buatnyagabaturan,buatnya tidak beraturan
bugcrash,bug crash
bugg,bug
bugharus,bug harus
bugmaksa,bug maksa
bugmuter,bug muter
bugnapol,bug napol
bugsetidaknya,bug setidaknya
bugsterutama,bug terutama
bukaapa,buka apa
bukabangkrut,buka bangkrut
bukadigunakankembali,buka digunakan kembali
bukahadeeh,buka aduh
bukak,buka
bukakalau,buka kalau
bukake,buka
bukamau,buka mau
bukanny,bukannya
bulanya,bulannya
burikkk,burik
burukapa,buruk apa
burukbusukbanyak,buruk busuk banyak
burukk,buruk
burukkk,buruk
burukkmembingungkan,buruk membingungkan
buruksangat,buruk sangat
busybegitu,busy begitu
butakerjaannya,buta kerjaannya
buttonya,buttonnya
butuk,buruk
buwat,buat
bwa,bawa
bwt,buat
byar,bayar
byk,banyak
caba,coba
cacaattt,cacat
cacad,cacat
cacatmasa,cacat masa
caim,klaim
cal,call
callcenternya,call centernya
camera,kamera
canggi,canggih
cansel,batal
cape,capek
carane,caranya
caraxa,caranya
cardaccount,card account
caronyo,caranya
caruk,cari
cas,cash
casbek,cashback
casehback,cashback
cass,cash
castemer,customer
catamer,customer
catanya,katanya
catet,catat
cb,coba
cba,coba
cbudi,c budi
cc,call center
cecer,ecer
cemana,gimana
centermalah,center malah
centre,center
ceper,cepat
cepet,cepat
chasback,cashback
check,cek
china,cina
chinaamerika,cina amerika
chrom,chrome
chuaaaaks,chuaks
cihh,cih
citer,cheater
claim,klaim
claimnya,klaimnya
clam,klaim
click,klik
clim,klaim
cm,cuma
cma,cuma
cmn,cuman
cobacoba,coba coba
coban,coba
cobasmoga,coba semoga
coco,cocok
code,kode
codenya,kodenya
codeqr,kode qr
codr,kode
coin,koin
cokkk,cok
complain,komplain
computer,komputer
contact,kontak
coustemer,costumer
cpek,capek
cpet,cepat
cpt,cepat
cri,cari
crome,chrome
cs,customer service
cuaaks,chuaks
cuba,coba
cukuptolong,cukup tolong
cumaaa,cuma
cumn,cuman
cuooookkkkk,cok
cuuiiihhhh,cuih
d,di
da,sudah
daerahdaerah,daerah daerah
dafatarin,daftarin
daftaraplikasi,daftar aplikasi
daftarcara,daftar acara
daftardapat,daftar dapat
daftardisuruh,daftar disuruh
daftare,daftarnya
daftarhdh,daftar aduh
daftarheran,daftar heran
daftarklo,daftar kalau
daftarknapa,daftar kenapa
daftarkok,daftar kok
daftarmana,daftar mana
daftarmasalah,daftar masalah
daftarmau,daftar mau
daftarny,daftarnya
daftarpembelian,daftar pembelian
daftarrin,daftarin
daftarrlemotttsangatt,daftar lemot sangat
daftarsaat,daftar saat
daftarsudah,daftar seudah
daftartambah,daftar tambah
daftartapi,daftar tapi
daftartp,daftar tapi
daftartpi,daftar tapi
daftarudah,daftar sudah
daftat,daftar
daftere,daftar
daftr,daftar
daftra,daftar
dahulumiris,dahulu miris
dalemanya,dalemannya
dam,dan
damaiaman,damai aman
danaovo,dana ovo
dapatr,dapat
daper,dapat
dapet,dapat
dapetin,dapatin
dapt,dapat
daptar,daftar
daptarinput,daftar input
datadata,data data
datalengkap,data lengkap
datatiba,data tiba
datatidak,data tidak
dbenai,dibenai
dbenerin,dibenarin
dbesarin,dibesarin
dbuat,dibuat
ddftarkn,didaftarkan
debitcash,debit cash
dechyang,deh yang
deeech,deh
deeh,deh
defloper,developer
degen,drigen
dehhh,deh
deket,dekat
denga,dengan
dengam,dengan
depa,depan
depatmen,departemen
depinisi,definisi
depositt,deposit
desaorang,desa orang
desel,diesel
develovernya,developernya
deveploper,developer
devlop,developer
dexfix,dex fix
dftar,daftar
dftarkan,daftarkan
dftarnya,daftarnya
dftr,daftar
dg,dengan
dgn,dengan
dgunakan,digunakan
diapdet,diupdate
diayar,di layar
dibenerin,dibenarin
dibiken,dibuat
dibukaaplikasi,dibuka aplikasi
dichargerlahpernah,dichargerlah pernah
diclaim,diklaim
dicutat,dicatat
didaftarno,didaftarin
didahulukanakhirnya,didahulukan akhirnya
didownloadsudah,didownload sudah
diem,diam
digitalurusin,digital urusin
digunakanaplikasi,digunakan aplikasi
digunakangimana,digunakan gimana
digunakantidak,digunakan tidak
digunankn,digunakan
diharuskantolong,diharuskan tolong
dihital,digital
diilangin,dihilangin
diinstal,diinstall
diipload,diupload
diistall,diinstall
dijakarta,di jakarta
dijalankantiap,dijalankan tiap
dijawa,di jawa
dikemanakanmakanya,dikemanakan makanya
dikirimgak,dikirim tidak
dikirimnungguin,dikirim nungguin
dikitdikit,dikit dikit
dikonfirmasiakan,dikonfirmasikan
diluncurkegawe,diluncur ke gawe
dimanaapus,dimana hapus
dimanamana,dimana mana
dimanfaatkanpadahal,dimanfaatkan padahal
dimasukkn,dimasukkan
dimayasy,di maya saya
dinaikinbikin,dinaikin buat
dinaikkin,dinaikin
dinantu,dinanti
dinegri,di negeri
dinkira,dikira
dipake,dipakai
dipakek,dipakai
diperbaharuinnya,diperbaharuinya
diperbaikikalo,diperbaiki kalau
diperbaikimasih,diperbaiki masih
diperbaikin,diperbaiki
dipersulitaplikasi,dipersulit aplikasi
dipersulitlelet,dipersulit lelet
dipertamina,di pertamina
dipke,di pakai
diplystore,di play store
dipom,di pom
dipostingaplikasi,diposting aplikasi
dipoto,difoto
dirijen,drigen
dirilispercuma,dirilis percuma
dirisetelah,diri setelah
diriview,di review
disalahgunain,disalah gunain
disalahgunakan,disalah gunakan
disampaikain,disampaikan
disc,diskon
discount,diskon
disebarrasakan,disebar rasakan
disegi,dari segi
disel,diesel
disempurnaksn,disempurnakan
disi,diisi
disistemnyaga,si sistemnya tidak
dispbu,di spbu
disruh,disuruh
disuru,disuruh
disusahinmakin,disusahin makin
disuwuh,disuruh
ditanggepi,ditanggapi
ditindaklanjuti,ditindak lanjuti
ditmpt,di tempat
ditolakaplikasi,ditolak aplikasi
ditolakbikin,ditolak buat
ditolakgara,ditolak gara
ditolakpadahal,ditolak padahal
ditolaksekarang,ditolak sekarang
ditolok,ditolak
diuplod,di upload
diutamainfakta,diutamain fakta
diverifikasiitu,diverifikasi itu
diwajibin,diwajibkan
diweb,di website
diwebsite,di website
diwnload,download
dkirimkalo,dikirim kalau
dl,dulu
dlkukan,dilakukan
dll,dan lain lain
dlm,dalam
dlmana,dimana
dlmnya,dalamnya
dlu,dulu
dluuu,dulu
dmn,dimana
dmna,dimana
dmngerti,dimengerti
dn,dan
dng,dengan
doangg,doang
doangmenghabiskan,doang menhabiskan
doank,doang
doble,double
dobol,double
doenload,download
doenloadga,download tidak
dongbener,dong benar
dongggggggggggggg,dong
dongkarna,dong karena
dongsedangkan,dong sedangkan
donk,dong
donkmasa,dong masa
donload,download
donlod,download
donlot,download
donlotdan,download dan
donlowad,download
donlowod,download
donwload,download
donwold,download
dowenload,download
dowload,download
dowlod,download
dowlond,download
downloaddi,download di
downloadsaraf,download saraf
downlod,download
dpat,dapat
dpermudah,dipermudah
dpersulit,dipersulit
dpet,dapat
dprjgn,dpr jangan
dpt,dapat
dptin,dapatin
dptkan,dapatkan
dr,dari
dri,dari
dri,dari
drpd,dari pada
drtd,dari tadi
dsb,dan sebagainya
dsruh,disuruh
dst,dan seterusnya
dsuru,disuruh
dterapkan,diterapkan
dtngh,di tengah
duadengan,dua dengan
duamotorsama,dua motor sama
duhh,duh
duirnya,uangnya
duit,uang
duli,cepat
duludeveloper,dulu developer
duluitupun,dulu itupun
dulukasian,dulu kasihan
dululahini,dululah ini
dulumana,dulu mana
dulusblm,dulu sebelum
dulutapi,dulu tapi
dunk,dong
dunlod,download
duooooobol,dobol
dupermudah,duper murah
dwonload,download
dwri,dari
dzalim,dzolim
edcyg,edc yang
eddaaaaaan,edan
editganti,edit ganti
ee,ekh
eee,ekh
eeeee,ekh
eeeh,ekh
eeehhhh,ekh
eeh,ekh
eek,taik
efisienkasiian,efisien kasihan
efisiensiper,efisien per
eh,ekh
ehh,ekh
ehhh,ekh
ehkanapa,ekh kenapa
ei,ekh
elite,elit
ellor,error
eloor,error
elor,error
elu,kamu
emai,email
emailadminya,email adminnya
emailbagai,email bagai
emailgak,email tidak
emailkatanya,email katanya
emailmohon,email mohon
emailmsuk,email masuk
emailnyadasar,emailnya dasar
emailriiibbeeettttt,email ribet
emailtp,email tapi
emang,memang
embelembelnya,embel embelnya
emg,memang
emgnya,memangnya
emil,email
emng,memang
empattpi,empat tapi
engak,tidak
engga,tidak
enggak,tidak
enggk,tidak
engkau,kamu
ennggak,tidak
entar,nanti
ente,kamu
epektif,efektif
epektifpembayaran,efektif pembayaran
epektip,efektif
eror,error
erora,error
erormesinnya,error mesinnya
erormw,error mau
erorpunya,error punya
erorr,error
erorrr,error
errorgangguan,error gangguan
errornik,error nik
errortolong,error tolong
esmosi,emosi
esok,besok
even,event
evesien,efisien
evisien,efisien
ewalet,ewallet
falid,valid
fasword,password
fb,facebook
fc,force close
fck,fuck
feb,februari
febuari,februari
fengan,dengan
ferefikasi,verifikasi
ferivikasi,verifikasi
ferivikasinya,verifikasinya
fertivikasi,vertivikasi
fformulir,formulir
fhoto,foto
fiktifudah,fiktif sudah
firtuner,fortuner
firur,fitur
fitu,fitur
flexibel,fleksibel
forceclose,force close
fortunervrz,fortuner
fotafoto,fota foto
foucer,voucher
freezemasuk,freeze masuk
ft,foto
fto,foto
fucek,fuck
g,tidak
ga,tidak
gaada,tidak ada
gaadapadahal,tidak ada padahal
gaak,tidak
gabawa,tidak bawa
gabener,tidak benar
gabergunamengisi,tidak berguna mengisi
gabisa,tidak bisa
gabisamasalahnya,tidak bisa masalahnya
gabsa,tidak bisa
gada,tidak ada
gadapet,tidak dapat
gag,tidak
gagalmulu,gagal mulu
gagalratusan,gagal ratusan
gaguna,tidak guna
gagunaaaa,tidak guna
gaje,tidak jelas
gajelas,tidak jelas
gajelaserror,tidak jelas error
gajelasmenyulitkan,tidak jelas menyulitkan
gajelaspercuma,tidak jelas percuma
gajelass,tidak jelas
gajelassangat,tidak jelas sangat
gajih,gaji
gajo,gaji
gak,tidak
gakjelas,tidak jelas
gakk,tidak
gakmau,tidak mau
galeriaplikasi,galeri aplikasi
galerifoto,galeri foto
galery,galeri
gamasuk,tidak masuk
gamau,tidak mau
gambarnyaaa,gambarnya
gampanggampang,gampang gampang
gampangsekarang,gampang sekarang
gamtek,gaptek
gangguanapa,gangguan apa
gangguanerror,gangguan error
gangguangak,gangguan tidak
gangguanlahyg,gangguanlah yang
gangguanujung,gangguan ujung
ganguan,gangguan
ganiat,tidak niat
gapaham,tidak paham
gaperlu,tidak perlu
gapernah,tidak pernah
garagara,gara gara
gasemua,tidak semua
gatau,tidak tahu
gatell,gatal
gatelnggak,gatal tidak
gathell,gatal tidak
gausa,tidak usah
gausah,tidak usah
gaush,tidak usah
gax,tidak
gbecus,tidak becus
gbisa,tidak bisa
gblg,goblok
gblk,goblok
gblok,goblok
gbsa,tidak bisa
gda,tidak ada
gekpernah,tidak pernah
gemana,gimana
gemink,gaming
gemnya,gamenya
gesermohon,geser mohon
gg,tidak
ggal,gagal
ggk,tidak
gguan,gangguan
gilaa,gila
gililan,giliran
gililran,giliran
gimanaasih,gimana sih
gimanagagal,gimana gagal
gimanah,gimana
gimn,gimana
gimna,gimana
gin,gini
giniditambah,gini ditambah
giniian,ginian
