Tidak Baku,Baku
ginimiris,gini miris
ginisaya,gini saya
giniusaha,gini usaha
ginu,gini
gj,tidak jelas
gjdi,tidak jadi
gk,tidak
gkguna,tidak guna
gmana,gimana
gmn,gimana
gmna,gimana
gmnaa,gimana
gmnabarkot,gimana barcode
gmpng,gampang
gnh,gini
gni,gini
gnigmn,gini gimana
gnikasianlah,gini kasianlah
goblog,goblok
gontaganti,gonta ganti
goodjob,good job
gopayerror,gopay error
gopaykok,gopay kok
gopayovo,gopay ovo
gopayovoshopee,gopay ovo shopee
gpp,tidak apa apa
grgr,gara gara
grs,harus
gt,gitu
gtl,gatal
gtu,gitu
gua,saya
guatel,gatal
gue,saya
guesampai,saya sampai
guma,guna
gun,guna
gunaa,guna
gunaain,gunain
gunadaftar,guna daftar
gunadi,guna di
gunahabisin,guna habisin
gunaka,gunakan
gunakaan,gunakaan
gunakanbakalan,gunakan bakalan
gunakankalau,gubakan kalau
gunakanpd,gunakan pada
gunakanregistrasi,gunakan registrasi
gunakansangat,gunakan sangat
gunakansdah,gunakan sudah
gunakanya,gunakannya
gunaknoaplikasi,gunakan aplikasi
gunamasa,guna masa
gunamau,guna mau
gunamenu,guna menu
gunangrilog,guna ngerelog
gunasubsidi,guna subsidi
gunnain,gunain
gw,saya
gx,tidak
ha,haha
habisharus,habis harus
habispadahal,habis padahal
habispdhl,habis padahal
habs,habis
had,hadeh
haddeh,hadeh
hadduuu,hadeh
hadeee,hadeh
hadeeeeeeuh,hadeh
hadeeeeuh,hadeh
hadeeh,hadeh
hadeehh,hadeh
hadeehhh,hadeh
hadeehhhbye,hadeh
hadegh,hadeh
hadehh,hadeh
hadehhh,hadeh
hadehhhh,hadeh
hadehhhhh,hadeh
hadeuh,hadeh
hadeuuuh,hadeh
hadeuuuhh,hadeh
hadeuuuhhh,hadeh
hadia,hadiah
haduh,hadeh
haduuhhhh,hadeh
hah,haha
hahaha,haha
hahahahahahahaha,haha
halhal,hal hal
hallo,halo
hamjadahmau,hamjadah mau
handphon,handphone
hang,hangus
hangs,hangus
hangusdaptar,hangus daftar
hape,handphone
hapuus,hapus
harcot,barcode
harigimana,hari gimana
harua,harus
harusa,harus
haruss,harus
haseuum,asam
hasily,hasilnya
hbs,habis
heeeei,hei
heheehe,hehe
hellooooo,halo
hfl,hafal
hilangga,hilang tidak
history,histori
historynya,historinya
historyrecord,histori record
hitunghitung,hitung hitung
hmmmm,hmm
hmy,h my
hny,hanya
hnya,hanya
horang,orang
hoy,hoe
hp,handphone
hpdftar,handphone daftar
hpku,handphonenya
hpnya,handphonenya
hpus,hapus
hr,hari
hrga,harga
hrganya,harganya
hrs,harus
hrsampe,hari sampai
hrsenin,hari senin
hrsnya,harusnya
hrus,harus
hrusnya,harusnya
hsrusnya,harusnya
hub,hubungi
hueeekdaftarnya,huek daftarnya
huehehehee,hehe
huekkk,huek
huekkmaaf,huek maaf
hufftt,huft
huhhhsy,huft
huuu,huft
huuufffttt,huft
ia,iya
idiod,idiot
idioott,idiot
iklas,ikhlas
ikutikutan,ikut ikutan
ilang,hilang
imelny,emailnya
incentive,insentif
indo,indonesia
indomaretalfamart,indomaret alfamart
indonesah,indonesia
indonesiaen,indonesia
indonesiakalo,indonesia kalau
indonetsia,indonesia
infonyaaku,infonya saya
infustri,industri
iniahli,ini ahli
iniapakah,ini apakah
iniaplikaasi,ini aplikasi
iniatau,ini atau
inibikin,ini buat
inibuat,ini buat
iniburuk,ini buruk
inidaftar,ini daftar
inigak,ini tidak
inigiliran,ini giliran
inih,ini
iniharapannya,ini harapannya
iniharus,ini harus
inihedehsemoga,ini deh semoga
iniii,ini
iniini,ini ini
inikalau,ini kalau
inikarena,ini karena
inikarna,ini karena
inikita,ini kita
inimau,ini mau
ininiat,ini niat
ininyusahin,ini nyusahin
inisangat,ini sangat
inisebulan,ini sebulan
initerpaksa,ini terpaksa
initerus,ini terus
initinggal,ini tinggal
initolong,ini tolong
initp,ini tapi
iniudh,ini sudah
iniyang,ini yang
inj,ini
instal,install
insyaallah,insya allah
intal,install
isibensin,isi bensin
isibpassword,isi password
isigak,isi tidak
isih,isi
isiminyak,isi minyak
itudan,itu dan
ituga,itu tidak
itumemang,itu menang
ituterus,itu terus
iyeu,iya
jadibahkan,jadi bahkan
jadigiliran,jadi giliran
jadinyamboh,jadinya mboh
jadinyatolong,jadinya tolong
jahanam,jahannam
jalanrakyat,jalan rakyat
jalanyaa,jalannya
jalurnyaharus,jalurnya harus
jancuukkk,jancuk
jancuukkkkk,jancuk
jangn,jangan
janjanne,janjane
jarinangagal,jaringan gagal
jaringanbukannya,jaringan bukannya
jau,jauh
jauhjauh,jauh jauh
javhd,jauh
jawabanakhirnya,jawaban akhirnya
jawabannyasesi,jawabannya sesi
jawabanya,jawabannya
jawabkarna,jawab karena
jawabnyaga,jawabnya tidak
jbingan,bajingan
jd,jadi
jda,jadinya
jdi,jadi
jdilh,jadilah
jdinya,jadinya
jdnya,jadinya
jelasapk,jelas aplikasi
jelasaplikasi,jelas aplikasi
jelasbanyak,jelas banyak
jelasbegitu,jelas begitu
jelasberbelit,jelas berbelit
jelasbikin,jelas buat
jelasbuat,jelas buat
jelasdaftar,jelas daftar
jelasdi,jelas di
jelasdiaplikasi,jelas di aplikasi
jelasdonlod,jelas download
jelasjadi,jelas jadi
jelasjelas,jelas jelas
jelasmalah,jelas malah
jelasmau,jelas mau
jelaspadahal,jelas padahal
jelaspayah,jelas payah
jelasribetdan,jelas ribet dan
jelass,jelas
jelassangat,jelas sangat
jelassemua,jelas semua
jelassmenyusahkanyg,jelas menyusahkan
jelasss,jelas
jelassss,jelas
jelasssss,jelas
jelasuda,jelas sudah
jelekk,jelek
jelekkkkkkkkkk,jelek
jelekmau,jelek mau
jeleksusah,jelek susah
jeles,jelas
jelsa,jelas
jeluar,keluar
jembunik,jembut nik
jengkela,jengkelnya
jeoass,jelas
jeregen,drigen
jeregenyg,drigen yang
jerigen,drigen
jg,juga
jga,juga
jgan,jangan
jgn,jangan
jihbikin,jih buat
jing,anjing
jir,anjing
jkt,jakarta
jl,jalan
jlas,jelas
jlek,jelek
jln,jalan
jls,jelas
jm,jam
jmbt,jembut
jng,jangan
jngan,jangan
jrg,jarang
jrigen,drigen
jringan,jaringan
jta,juta
juataan,jutaan
jugaa,juga
jugabuat,juga buat
jugakecewaaaaaaaaaaaaa,juga kecewa
jugaketerangannya,juga keterangannya
jugamaksa,juga maksa
jugatetep,juga tetap
jugi,rugi
jurig,burik
jwbn,jawaban
k buka,kebuka
kabare,kabanya
kabaruntung,kabar untung
kabeh,semua
kacaudi,kacau di
kacauuuuuuuuuu,kacau
kadaluwarsa,kadaluarsa
kadih,kasih
kaga,tidak
kagaaa,tidak
kagak,tidak
kaish,kasih
kak,kakak
kaka,kakak
kakk,kakak
kakok,kakak
kalai,kalau
kalao,kalau
kalaw,kalau
kalean,kalian
kalen,kalian
kaliat,kakak lihat
kalibuka,kali buka
kalibukanya,kali bukanya
kalidi,kali di
kaliditolak,kali ditolak
kalipadahal,kali padahal
kaliselalu,kali selalu
kalo,kalau
kalok,kalau
kalu,kalau
kamerasistem,kamera sistem
kamiiiiiiiii,kami
kamim,kami
kampanyedah,kampanye dah
kampungkampung,kampung kampung
kanini,kan ini
kantorganti,kantor ganti
kapasitaspadahal,kapasitas padahal
kariyawan,karyawan
karna,karena
kasi,kasih
kasihinilah,kasihanilah
kasihmohon,kasih mohon
kasik,kasih
kasisaya,kasih saya
katana,katanya
katany,katanya
katax,katanya
kau,kamu
kayaaneh,kayak aneh
kayagini,kayak gini
kayah,kaya
kayaknyakatanya,kayaknya katanya
kayayang,kaya yang
kbesaran,kebesaran
kbijakan,kebijakan
kbnyakan,kebanyakan
kcewa,kecewa
kcl,kecil
kcuali,kecuali
kdang,kadang
kebajaktolong,kebajak tolong
kebanyakn,kebanyakan
kebdaraan,keberadaan
kebijakanya,kebijakannya
kebingungdan,kebingungan dan
kebnyakn,kebanyakan
kebocorandatakendaraan,kebocoran data kendaraan
kecamatankota,kecamatan kota
kecewaaplikasi,kecewa aplikasi
kecewabynk,kecewa banyak
kecewalokasi,kecewa lokasi
kecewasih,kecewa sih
kecilmalah,kecil malah
kecilmau,kecil mau
kecilselalu,kecil selalu
keciludah,kecil sudah
keciludh,kecil sudah
kedatamakasih,kedata terima kasih
kede,kode
kehidupanbanyak,kehidupan banyak
keja,kerja
kejawa,ke jawa
kejelassaan,kejelasan
kek,kayak
kekgtu,kayak gitu
kekulangant,kekurangan
kelancarantapi,kelancaran tapi
kelebiahan,kelebihan
keliapatan,kelipatan
keluan,keluhan
keluarpusing,keluar pusing
keluarrr,keluar
keluarternyata,keluar ternyata
kemanjuan,kemajuan
kemaren,kemarin
kembaliln,kembaliin
kembalipas,kembali pas
kembaliterimakasih,kembali terima kasih
kemudin,kemudian
kemundurankalau,kemunduran kalau
kemunduransebelumnya,kemunduruan sebelumnya
kenap,kenapa
kendaraanya,kendaraannya
kendaran,kendaraan
kenderaan,kendaraan
kendraan,kendaraan
kenpa,kenapa
kentangmau,kantang mau
kepakasa,kepaksa
kepake,kepakai
kepalaaplikasi,kepala aplikasi
kerj,kerja
kerjasama,kerja sama
kerta,kereta
kertasjngan,kertas jangan
kesalahanya,kesalahannya
kesalahpahaman,kesalah pahaman
kesalbikin,kesal buat
kesel,kesal
keteranganya,keterangannya
ketikterlalu,ketik terlalu
ketulissusah,ketulis susah
key word,keyword
kg,tidak
kga,tidak
kgehmalah,kaget malah
kgk,tidak
kieeeee,kie
kieu,kie
kiiihhh,kie
kirimtp,kirim tapi
kirm,kirim
kitaa,kita
kitadengan,kita dengan
kitaga,kita tidak
kitapakai,kita pakai
kits,kita
klas,kelas
klau,kalau
klean,kalian
klen,kalian
kli,kali
kliatn,kelihatan
klihatan,kelihatan
klime,klaim
klngsungn,kelangsungan
klo,kalo
klok,kalau
klola,kelola
klu,kalau
kluar,keluar
kluarga,keluarga
kluarsllu,keluar selalu
klw,kalau
km,kamu
kmbali,kembali
kmi,kami
kmmami,kami
kmn,kemana
kmna,kemana
kmren,kemarin
kmrn,kemarin
knapa,kenapa
kndala,kendala
kndaraansopir,kendaraan supir
knnntl,kontol
knp,kenapa
knpa,kenapa
kntl,kontol
kntlll,kontol
kodedata,kode data
kodenggak,kode tidak
kodepasword,kode password
kog,kok
kompilama,kompi lama
kompirmasinya,konfirmasinya
komplan,komplain
komplen,komplain
komplin,komplain
komplitsusah,komplit susah
konfir,konfirmasi
konfirm,konfirmasi
konfirmasitp,konfirmasi tapi
konfirmnya,konfirmasinya
konfirnya,konfirmasinya
konntl,kontol
konsumenjatah,konsumen jatah
konthol,kontol
kontil,kontol
kontl,kontol
kontoll,kontol
kontool,kontol
konyolll,konyol
kook,kok
koq,kok
kotaaplikasi,kota aplikasi
kote,kode
kotha,kuota
koto,kota
kouta,kuota
koyo,kayak
koyok,kayak
kpn,kapan
krajan,kerajaan
krena,karena
krg,kurang
krim,kirim
krj,kerja
krja,kerja
krn,karena
krna,karena
kta,kata
ktjaan,kerjaan
ktl,kontol
ktnya,katanya
ktpgmn,ktp gimana
ktpnomor,ktp nomor
ktpstnk,ktp stnk
kuatir,khawatir
kudu,harus
kuluarga,keluarga
kumatpengen,kumat pengen
kuntulllllll,kontol
kuotahp,kuota handphone
kuotanopol,kuota nopol
kurabg,kurang
kurangsekarang,kurang sekarang
kurupsi,korupsi
kwalitas,kualitas
kya,kayak
kyak,kayak
kyk,kayak
kyknya,kayaknya
laa,lah
laaa,lah
laaahhini,lah ini
laah,lah
lacar,lancar
ladi,lah di
laen,lain
lagibahkan,lagi bahkan
lagibiar,lagi biar
lagibuka,lagi buka
lagidaftar,lagi daftar
lagifoucer,lagi voucher
lagigw,lagi saya
lagijadi,lagi jadi
lagikasian,lagi kasihan
lagimohon,lagi mohon
lagisampe,lagi sampai
lagisangat,lagi sangat
lagitidak,lagi tidak
lagiyg,lagi yang
lahgampang,lah gampang
lahh,lah
lahhhhhhh,lah
lahjangan,lah jangan
lahpadahal,lah padahal
lahpasword,lah password
lahuntuk,lah untuk
laindan,lain dan
lainkendaraan,lain kendaraan
lainsekelas,lain sekelas
lainyagk,lainnya yang
laknatyang,laknat yang
lamaa,lama
lamaaa,lama
lamaaaaa,lama
lamaaaaaa,lama
lamao,lama
lamban,lambat
lambatantrian,lambat antrian
lambattidak,lambat tidak
lamo,lama
lancardasar,lancar dasar
lancarkerja,lancar kerja
lancarrr,lancar
lanjutigimna,lanjuti gimana
lanjutlama,lanjut lama
lansir,langsir
lansung,langsung
lapnganmasyrakat,lapangan masyarakat
lasering,lah sering
latidak,lah tidak
launcing,launching
layananannya,layanannya
layann,layan
lbh,lebih
lbih,lebih
leawat,lewat
lebihdisiplin,lebih disiplin
lebihtlong,lebih tolong
ledaran,lebaran
lekangdi,lekang di
leletgagal,lelet gagal
lemooot,lemot
lemotnyamau,lemotnya mau
lemott,lemot
lenkap,lengkap
leveldan,level dan
lg,lagi
lgcoba,lagi coba
lgi,lagi
lgiklo,lagi kalau
lgseharus,lagi seharus
lgsubsidi,lagi subsidi
lgsung,langsung
lh,lah
lha,lah
lhaa,lah
lhari,hari
lhh,lah
lho,loh
lho,loh
liat,lihat
liink,link
linkajagopay,linkaja gopay
linkajahadehh,linkaja hadeh
linkajaharus,linkaja harus
linkajakan,linkaja kan
linkajapakai,linkaja pakai
linkajh,linkaja
linkjadi,link jadi
literitu,liter itu
literkm,liter km
lkp,lengkap
lmanya,lamanya
lmbat,lambat
lngsung,langsung
lngsungtidak,langsung tidak
loding,loading
loe,kamu
logging,login
loginterlalu,login terlalu
loginudah,login sudah
loginwoe,login woy
logowhat,logo what
loguot,logout
lohwong,loh wong
lol,tolol
lounch,launching
lounching,launching
lpangan,lapangan
lsg,langsung
lsinya,isinya
ltg,liter g
ltr,liter
lu,kamu
luarbiasa,luar biasa
luj,kamu
lwat,lewat
lwt,lewat
ma,sama
maaaf,maaf
maaih,masih
macampertamina,macam pertamina
macan,macam
macem,macam
maduk,masuk
maen,main
mahaaall,mahal
mahh,mah
mainmain,main main
majuhadehhhhhh,maju hadeh
majuorang,maju orang
makansy,makan saya
makasa,maksa
makasih,terima kasih
make,pakai
makek,pakai
makenya,pakainya
makij,makin
makindi,makin di
maksabegitu,maksa begitu
maksd,maksud
maksimalsesuai,mkasimal sesuai
maksutnya,maksudnya
makudnya,maksudnya
malem,malam
males,malas
malh,malah
malingbapak,maling bapak
malm,malam
malung,maling
mambantu,membantu
mampasulik,mempersulit
mampufakta,mampu fakta
mampusini,mampu sini
manabiar,mana biar
manasiapa,mana siapa
mandaftar,mendaftar
manfusy,mampus
manmbahkan,menambahkan
mantab,mantap
mantabbbb,mantap
mantapa,mantap
mantaphanya,mantapnya
mantapini,mantap ini
mantapmudh,mantap mudah
mantappppp,mantap
manteb,mantap
mao,mau
maraiii,marai
masalahnyafoto,masalahnya foto
masalahnyajadi,masalahnya jadi
masapertamia,masak pertamina
masarakat,masyarakat
masarakatno,masyarakatnya
maslh,masalah
masok,masuk
masukaplikasi,masuk aplikasi
masukbikin,masuk buat
masukdaftar,masuk daftar
masukgw,masuk saya
masukini,masuk ini
masukk,masuk
masukke,masuk
masukmana,masuk mana
masukmasuk,masuk masuk
masuknyapengen,masuknya pengen
masukpake,masuk pakai
masukselalu,masuk selalu
masuksmp,masuk smp
masyarakatapa,masyarakat apa
masyarakatdi,masyarakat di
masyarakatenakan,masyarakat enakan
masyarakatkebanyakan,masyarakat kebanyakan
masyarakatmau,masyarakat mau
masyarakatpaham,masyarakat paham
masyarakatpin,masyarakat pin
masyarakatt,masyarakat
masyarakattutup,masyarakat tutup
masyarakatudah,masyarakat sudah
masyarakatutamanya,masyarakat utamanya
masyarakt,masyarakat
masyarkat,masyarakat
masyrakat,masyarakat
matalu,mata kamu
matengin,matangin
matipadahal,mati padahal
maundaftar,mau daftar
maungisi,mau ngisi
may pertamina,mypertamina
maypertamina,mypertamina
mbantu,membantu
mbayar,membayar
mbbatas,mb batas
mbil,mobil
mbl,mobil
mbuuuulet,mbulet
mbuuuulllettt,mbulet
mbyg,mb yang
mcm,macam
mdhan,mudahan
mdptkan,mendapatkan
mebingungkan,membingungkan
mebuang,membuang
meding,mending
melelahkanbikin,melelahkan buat
memadaijanganlah,memadai janganlah
membagingkan,membagongkan
membagongkanbolak,membagongkan bolak
membantudan,membantu dan
membantuterimakasih,membantu terima kasih
membantutrima,membantu terima
memberny,membernya
membigungkn,membingungkan
membuangbuang,membuang buang
memdaftar,mendaftar
memperlmbt,memperlambat
mempersulitcs,mempersulit customer service
mempersulitmemperlambat,mempersulit memperlambat
mempersulittr,mempersulit
mempersulkt,mempersulit
memuaskanuntuk,memuaskan untuk
memverifikasinyh,memverifikasinya
menariksusah,menarik susah
mencurikorupsi,mencuri korupsi
mendaftarcoba,mendaftar coba
mendartar,mendaftar
mendftar,mendaftar
menengak,menengah
menerma,menerima
mengclaim,mengklaim
mengeceqakan,mengecewakan
mengecewakanpakai,mengecewakan pakai
mengecewankan,mengecewakan
mengecrwakan,mengecewakan
menggunakannyatapi,menggunakannya tapi
menggunakanya,menggunakannya
menggunskan,menggunakan
mengmbil,mengambil
mengunak,menggunakan
mengunakan,menggunakan
menjauhdi,menjauh di
menjawabngakunya,menjawab ngakunya
menjengjekel,menjengkelkan
menpermudah,mempermudah
menpersulit,mempersulit
menyalahgunakan,menyalah gunakan
menyengsengakan,menyesengsarakan
menyengsengsarakan,menyesengsarakan
menyengsenrakan,menyesengsarakan
menysahkan,menyusahkan
menyusahkandaftar,menyusahkan daftar
menyusahkandibuatkan,menyusahkan dibuatkan
menyusahkanganti,menyusahkan ganti
menyusahkansudah,menyusahkan sudah
menyusahkanuntuk,menyusahkan untuk
menyusakan,menyusahkan
mepersulit,mempersulit
merchandisetapi,merchandise tapi
merekanegara,mereka negara
merepotka,merepotkan
merepotkanharusnya,merepotkan harusnya
merepotkanmau,merepotkan mau
merepotkannegri,merepotkan negeri
merk,merek
mewahcc,mewah cc
meypetamna,mypertamina
meyusahkan,menyusahkan
mggunakan,menggunakan
mggunakannya,menggunakannya
mgkin,mungkin
mgkn,mungkin
mhnpencerahan,mohon pencerahan
mikirya,mikir ya
miliyaran,milyaran
minapprove,min approve
mindirimu,min dirimu
minnn,min
mintak,minta
mintakoke,minta oke
minyakbukan,minyak bukan
miski,meski
mkanya,makanya
mke,make
mkin,makin
mkir,mikir
mkirin,mikirin
mksdnya,maksudnya
mlaah,malah
mlah,malah
mlh,malah
mls,malas
mmang,memang
mmg,memang
mmk,memek
mmng,memang
mmpermudah,mempermudah
mmpersulit,mempersulit
mncri,mencari
mndapatkan,mendapatkan
mnding,mending
mngganggu,mengganggu
mngisi,mengisi
mngkn,mungkin
mngubah,mengubah
mngunakan,menggunakan
mnit,menit
mnta,minta
mnunggu,menunggu
mnyampaikan,menyampaikan
mnyesuaikan,menyesuaikan
mo,mau
moabil,mobil
mobilbayangkan,mobil bayangkan
mobilbukan,mobil bukan
mobill,mobil
mobilsaya,mobil saya
mobilsemoga,mobil semoga
modele,model
moderenisasi,modernisasi
moneymudah,money mudah
moromoro,moro moro
motorr,motor
mreka,mereka
mrk,mereka
msa,masa
msh,masih
msi,masih
msih,masih
msk,masuk
mskheran,masuk heran
mslh,masalah
msuk,masuk
mubajir,mubazir
mulublg,mulu bilang
muludadtar,mulu daftar
muludi,mulu di
mulukalo,mulu kalau
mulutaiii,mulu taik
mulutolong,mulu tolong
muluu,mulu
muluwaktu,mulu waktu
mumcul,muncul
mumettt,mumet
munculakhirnya,muncul akhirnya
muncull,muncul
munculmuncul,muncul muncul
munculpadahal,muncul padahal
munculsejak,muncul sejak
munyak,minyak
murahmaunya,murah maunya
musingkeun,musingken
musti,mesti
mutermuter,muter muter
mutersemua,muter semua
mw,mau
mwemek,memek
mwlihat,melihat
my pertamina,mypertamina
mypertamia,mypertamina
mypertaminabarcode,mypertamina barcode
mypertaminadulunya,mypertamina dulunya
mypertaminaselam,mypertamina selam
mypertaminatp,mypertamina tapi
n,dan
naek,naik
nanyak,nanya
napol,nopol
naroh,naruh
nauzubillah,naudzubillah
nda,tidak
ndaftar,daftar
ndak,tidak
ndes,ndas
ndftar,daftar
ndk,tidak
ne,ini
negarakatanya,negara katanya
negatip,negatif
negecewakan,mengecewakan
negera,negara
negri,negeri
nekoneko,neko neko
nekonekoo,neko neko
nelayantukang,nelayan tukan
nemuint,nemuin
nga,tidak
ngabisa,tidak bisa
ngajurin,nganjurin
ngak,tidak
ngasihhh,ngasih
ngasik,ngasih
ngbug,ngebug
ngelawakfoto,ngelawak foto
ngelayaninya,ngelayaninnya
ngelu,ngeluh
ngga,tidak
nggak,tidak
nggk,tidak
ngisigk,ngisi tidak
ngisikata,ngisi kata
ngisitapi,ngisi tapi
ngk,tidak
ngluncurin,ngeluncurin
ngmng,ngomong
ngntot,ngentot
ngntri,ngantri
ngontol,ngotrol
ngpain,ngapain
ngra,negara
ngrepotno,ngeribetin
ngribetin,ngeribetin
ngsinya,ngisinya
ngutangtpi,ngutang tapi
ni,ini
nian,banget
nibkin,nih bikin
nich,nih
nihbisa,nih bisa
niih,nih
nikpassword,nik password
niktidak,nik tidak
nikyg,nik yang
nimer,nomor
niqt,niat
njiiirrr,anjing
njing,anjing
njirrr,anjing
nma,nama
nmr,nomor
nnggk,tidak
nnti,nanti
nnyain,nanyain
no,nomor
no pol,nomor polisi
nolal,nolak
nomal,normal
nomer,nomor
nomernya,nomornya
nomorhp,nomor handphone
nompol,nopol
nongoljdi,nongol jadi
nontunaitolong,nontunai tolong
nootif,notifikasi
norespon,no respon
norifikasi,notifikasi
normalmalah,normal malah
notapokasih,notifikasi
notfikasi,notifikasi
notif,notifikasi
notifikasidaftar,notifikasi
notifnya,notifikasinya
notip,notifikasi
npa,kenapa
nth,ntah
ntr,ntar
nuggu,nunggu
nungguxjam,nunggunya jam
nunjukinbarcode,nunjukin barcode
ny,nya
nyaa,nya
nyaada,nya ada
nyaagar,nya agar
nyaaplikasi,nya aplikasi
nyabarcode,nya barcode
nyabikin,nya buat
nyabukti,nya bukti
nyadasar,nya dasar
nyadata,nya data
nyadiupdate,nya diupdate
nyafenomena,nya fenomena
nyah,nya
nyahapus,nya hapus
nyaharus,nya harus
nyaindonesia,nya indonesia
nyaini,nya ini
nyajangan,nya jangan
nyakami,nya kami
nyamansehat,nyaman sehat
nyamasa,nya masa
nyamau,nya mau
nyampe,sampai
nyampek,sampai
nyamypertamina,nya mypertamina
nyaniat,nya niat
nyapayah,nya payah
nyapooooo,nyapo
nyaribet,nya ribet
nyasaya,nya saya
nyatabaca,nyata baca
nyatidak,nya tidak
nyatolong,nya tolong
nyatp,nya tapi
nyauang,nya uang
nyeeeeenggg,nyeng
nyesel,nyesal
nyimpen,nyimpan
nykebaca,nya kebaca
nyklw,nya kalau
nyq,nya
nyta,nyata
nytapi,nya tapi
nyusahinbukanya,nyusahin bukan
nyusahinn,nyusahin
nyusahke,nyusahin
nyusahkeun,nyusahin
nyusaiga,nyusahin tidak
nyusain,nyusahin
nyushin,nyusahin
nyususahin,nyusahin
ohh,oh
ojeg,ojek
ok,oke
okee,oke
okeee,oke
oklnjt,oke lanjut
olang,orang
onlineapalagi,online apalagi
onlinejangan,online jangan
onlineulah,online sudah
onlinkanterkesan,online terkesan
operaror,operator
operatornyya,operatornya
opooooooo,opo
oprator,operator
opsion,option
oragnya,orangnya
orangdaftar,orang daftar
orangorang,orang orang
orangtuayg,orang tua yang
orangzaman,orang zaman
org,orang
orng,orang
ortu,orang tua
ortunya,orang tuanya
otakgimana,otak gimana
otaknyabikin,otaknya buat
otpapk,otp aplikasi
otpnyelalui,otp melalui
otpsaat,otp saat
otptapi,otp tapi
ott,otp
outle,outlet
ovogopay,ovo gopay
oyyybuat,oy buat
paasword,password
padah,pada
padahala,padahal
padahalbelum,padahal belum
padahalmah,padahal mah
padahl,padahal
pagisore,pagi sore
pahamkalau,paham kalau
pahammlh,pahamlah
pakaimohon,pakai mohon
pakainalk,pakaikan
pakainy,pakainya
pakaiyg,pakai yang
pake,pakai
pakek,pakai
pakenya,pakainya
pakenyayg,pakainya yang
pakex,pakainya
paki,pakai
pakk,pak
pakkudu,pak kudu
